generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Gentamicin,General,81.0,999.0,21.0,30.0,130.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.02613065326633166,0.009027777777777777,0.0
Gentamicin,General,0.0,39.5,31.0,40.0,0.0,2.5,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.036180904522613064,0.0,0.1
Gentamicin,General,39.6,49.5,31.0,40.0,100.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.036180904522613064,0.006944444444444444,0.0
Gentamicin,General,49.6,59.5,31.0,40.0,120.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.036180904522613064,0.008333333333333333,0.0
Gentamicin,General,59.6,69.5,31.0,40.0,140.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.036180904522613064,0.009722222222222222,0.0
Gentamicin,General,69.6,80.99,31.0,40.0,150.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.036180904522613064,0.010416666666666666,0.0
Gentamicin,General,81.0,999.0,31.0,40.0,160.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.036180904522613064,0.011111111111111112,0.0
Gentamicin,General,0.0,39.5,41.0,50.0,0.0,2.5,0.0,0.0,IV,Normal,2,0,0,1,0,0.5857142857142857,0.04623115577889447,0.0,0.1
Gentamicin,General,39.6,49.5,41.0,50.0,120.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5857142857142857,0.04623115577889447,0.008333333333333333,0.0
Gentamicin,General,49.6,59.5,41.0,50.0,140.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5857142857142857,0.04623115577889447,0.009722222222222222,0.0
Gentamicin,General,59.6,69.5,41.0,50.0,160.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5857142857142857,0.04623115577889447,0.011111111111111112,0.0
Gentamicin,General,69.6,80.99,41.0,50.0,380.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5857142857142857,0.04623115577889447,0.02638888888888889,0.0
Gentamicin,General,81.0,999.0,41.0,50.0,200.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5857142857142857,0.04623115577889447,0.013888888888888888,0.0
Gentamicin,General,0.0,39.5,51.0,60.0,0.0,5.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.7285714285714285,0.05628140703517588,0.0,0.2
Gentamicin,General,39.6,49.5,51.0,60.0,200.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.7285714285714285,0.05628140703517588,0.013888888888888888,0.0
Gentamicin,General,49.6,59.5,51.0,60.0,240.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.7285714285714285,0.05628140703517588,0.016666666666666666,0.0
Gentamicin,General,59.6,69.5,51.0,60.0,280.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.7285714285714285,0.05628140703517588,0.019444444444444445,0.0
Gentamicin,General,69.6,80.99,51.0,60.0,300.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.7285714285714285,0.05628140703517588,0.020833333333333332,0.0
Gentamicin,General,81.0,999.0,51.0,60.0,320.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.7285714285714285,0.05628140703517588,0.022222222222222223,0.0
